Region,Buyer,Model,Model Year,Supplier,text
Americas,BMW,2 Series Coupe (Mexico),2022,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ford,Edge (Canada),2022,Martinrea International Inc.,Brake line
ASEAN・India・Korea,Ford,Everest (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Ford,Explorer (USA),2022,Martinrea Automotive Systems (USA) LLC,Brake line
Americas,Ford,Mustang Mach-E (Mexico),2022,Continental AG,Brake hose
Americas,Ford,Lincoln Nautilus (Canada),2022,Martinrea International Inc.,Brake line
ASEAN・India・Korea,Ford,Ranger (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Honda,Accord (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Accord Hybrid (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,BR-V (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Honda,Civic (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
Americas,Honda,Civic Sedan (Canada),2022,TI Automotive-Fluid Carrying Systems (Cambridge),Brake line
ASEAN・India・Korea,Honda,CR-V (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,HR-V (Thailand),2022,Nichirin (Thailand) Co. Ltd.,Brake hose
Japan,Honda,N-VAN,2022,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Isuzu,D-Max (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Isuzu,mu-X (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Isuzu,N-Series (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Jeep,Compass (Mexico),2022,TI Automotive Fluid Carrying Systems (Mexico City),Brake line
ASEAN・India・Korea,Maruti Suzuki,S-PRESSO (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Maruti Suzuki,Wagon R (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Maruti Suzuki,Wagon R (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Europe,Maserati,Grecale (Italy),2022,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Mazda,BT-50 (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Mazda,CX-3 (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Mazda,Mazda2 (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Japan,Mitsubishi,eK X EV,2022,Sanoh Industrial Co. Ltd.,Brake line
China,NIO,ES8 (4WD) (China),2022,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
ASEAN・India・Korea,Nissan,Almera (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Nissan,Kicks e-POWER (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Nissan,March (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Japan,Nissan,Sakura,2022,Sanoh Industrial Co. Ltd.,Brake line
Europe,Opel,Movano (Poland),2022,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Rivian,R1S (USA),2022,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,SAIC GM Wuling,Wuling Hongguang MINI EV (China),2022,Sichuan Chuanhuan Technology Co. Ltd.,Brake vacuum hose
Japan,Subaru,XV,2022,Nichirin Co. Ltd.,Brake hose
Japan,Subaru,XV (e-BOXER),2022,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Suzuki,Celerio (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Suzuki,Grand Vitara (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Suzuki,Grand Vitara (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
ASEAN・India・Korea,Suzuki,Swift (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Tesla,Model Y (Germany),2022,Martinrea Bergneustadt GmbH (Formerly Metalsa - Bergneustadt Plant),Brake line
Americas,Tesla,Model Y (USA),2022,Martinrea International US Inc.,Brake line
Japan,Toyota,Crown Crossover,2022,Toyoda Gosei Co. Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Fortuner (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Toyota,Fortuner (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
ASEAN・India・Korea,Toyota,Fortuner (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Japan,Toyota,GR Yaris,2022,Toyoda Gosei Co. Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Hilux Revo (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Innova Crysta (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Toyota,Innova Crysta (India),2022,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
ASEAN・India・Korea,Toyota,Vios (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Yaris (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Yaris ATIV (Thailand),2022,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Volkswagen,ID. Buzz (Germany),2022,Continental AG,Front brake hose
Europe,Volkswagen,T7 Multivan (Germany),2022,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,Volkswagen,Taos (Mexico),2022,TI Automotive LLC,Brake line
Europe,Audi,A3 Sedan (Germany),2021,Cooper-Standard Holdings Inc.,Brake line
Americas,BMW,X7 (USA),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz C-Class (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz C-Class Plug-in Hybrid (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz C-Class Sedan (Germany),2021,A. Kayser Automotive Systems GmbH,Vacuum brake line
Europe,Daimler,Mercedes-Benz CLA (Hungary),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz E-Class (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
