Region,Buyer,Supplier,Specific Part Name
Americas,Ford,HC Queretaro S.A. de C.V.,Brake hose assembly
China,Shanghai Volkswagen,Shanghai Automotive Brake Systems Co. Ltd.,Front brake hose
Americas,Daimler,TI Automotive LLC,Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose
Europe,Porsche,A. Kayser Automotive Systems GmbH,Vacuum hose
ASEAN・India・Korea,Volkswagen,Hanil Tube India Private Ltd.,Brake line
Japan,Daihatsu,Toyoda Gosei Co. Ltd.,Brake hose
Europe,Volvo Cars,Hutchinson S.A.,Front brake hose
Americas,Honda,TI Automotive-Fluid Carrying Systems (Cambridge),Brake line
Europe,Alfa Romeo,Continental AG,Brake hose
Americas,Polestar,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Daihatsu,Toyoda Gosei Co. Ltd.,Front brake hose
ASEAN・India・Korea,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ram Trucks,Cooper-Standard Holdings Inc.,Vacuum brake line
Americas,Ford,Continental AG,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(E-CVT)
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0T)(9AT)
Americas,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Jeep,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Rear brake hose
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Bentley,FTE automotive GmbH,Brake hose
Europe,BMW,Cooper-Standard Holdings Inc.,Brake hose
Europe,Renault,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Mitsubishi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Dodge,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Fiat,Continental AG,Rear brake hose
ASEAN・India・Korea,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
Americas,Volkswagen,Sanoh America Inc. - Scottsboro,Brake line
ASEAN・India・Korea,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Honda,Cooper-Standard Holdings Inc.,Brake line
Europe,Citroen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Flexitech Inc.,Brake hose
ASEAN・India・Korea,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Mitsubishi,Inoac Tokai (Thailand) Co. Ltd.,Vaccum hose
Europe,Bentley,Continental AG,Brake hose
Americas,BMW,Continental AG,Brake hose
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Audi,FTE automotive GmbH,Brake line
Europe,Bentley,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,GM,Flexitech Inc.,Front brake hose
Japan,Daihatsu,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Nissan,Sanoh Industrial Co. Ltd.,Brake line
Americas,Dodge,Martinrea International Inc.,Brake hose
Europe,Skoda,FTE automotive GmbH,Brake hose
Europe,Fiat,Hutchinson S.A.,Brake hose
Americas,Chrysler,TI Automotive LLC,Brake line
Europe,Renault,Flexitech Inc.,Rear brake hose
Americas,GM,Cooper Standard Automotive FHS S. de R.L. de C.V. - Saltillo,Vacuum hose
Europe,Nissan,Cikautxo S. Coop.,Vacuum hose
China,SAIC GM,Nichirin Vietnam Co. Ltd.,Brake hose
ASEAN・India・Korea,Daihatsu,Toyoda Gosei (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Nichirin (Thailand) Co. Ltd.,Brake hose
Europe,Skoda,FTE automotive GmbH,Front brake hose
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum brake booster line
ASEAN・India・Korea,Tata,Cooper-Standard Holdings Inc.,Brake line
Europe,Renault,Teklas Kaucuk San. Ve Tic. A.S.,Brake hose
Americas,Dodge,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Rear brake hose
Americas,Ford,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose assembly
Europe,Fiat,Continental AG,Brake hose
Europe,Skoda,Continental AG,Brake hose
ASEAN・India・Korea,Maruti Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Maruti Suzuki,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Tesla,Cooper-Standard Holdings Inc.,Brake line
Europe,Opel,Flexitech Inc.,Rear brake hose
Europe,Skoda,A. Kayser Automotive Systems GmbH,Vacuum hose
Europe,Renault,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Honda,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Ford,Cooper-Standard Holdings Inc.,Brake hose
Europe,Porsche,FTE automotive GmbH,Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(CVT)
Americas,Ford,Industrias Martinrea de Mexico S.A. de C.V.,Brake line
ASEAN・India・Korea,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Brake hose
Americas,Fiat,Flexitech do Brasil Industria e Comercio de Mangueiras de Freios Ltda.,Brake line
Europe,Alfa Romeo,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Front brake hose
Americas,Chrysler,Flexitech Inc.,Brake hose
Japan,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Honda,Nichirin Co. Ltd.,Rear brake hose
China,Xpeng,TI Automotive (Tianjin) Co. Ltd. Guangzhou Branch (Formerly Bundy Fluid Systems (Tianjin) Co Ltd. Guangzhou Branch),Brake line
Europe,Rolls-Royce,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Nissan,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Americas,Chrysler,Flexitech Inc.,Front brake hose
Americas,GM,Industrias Martinrea de Mexico S.A. de C.V.,Brake line
Americas,Ford,Martinrea Automotive Systems (USA) LLC,Brake line
Europe,Jaguar Land Rover,Goodridge UK Ltd,Brake hose
Europe,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Toyota,Toyoda Gosei (Thailand) Co. Ltd.,Brake hose
Americas,Chrysler,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Ford,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Americas,GM,Martinrea International Inc.,Brake line
Europe,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Nissan,Imperial Auto Industries Ltd.,Brake hose
Japan,Honda,Meiji Flow Systems Co. Ltd.,Vacuum Brake Hose
Americas,Ford,Martinrea International Inc.,Brake hose
Americas,GM,Tenneco Inc.,Brake line
Europe,Opel,Flexitech Inc.,Front brake hose
Americas,Rivian,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Mercedes-Benz,Continental AG,Front brake hose
Americas,BMW,Flexitech Europe SAS,Front brake hose
ASEAN・India・Korea,Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
Europe,Volkswagen,FTE automotive GmbH,Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Brake hose
Europe,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Nissan,Nichirin (Thailand) Co. Ltd.,Brake hose
Europe,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Jeep,Martinrea International Inc.,Brake hose
Japan,Honda,Nichirin Co. Ltd.,Brake hose
Americas,Chrysler,Cooper-Standard Holdings Inc.,Brake hose
Americas,Volkswagen,Flexitech Automotive Mexico S. de R.L. de C.V.,Brake hose
Japan,Honda,Nichirin Co. Ltd.,Front brake hose
Europe,Fiat,TMD Friction Holdings GmbH,Brake hose
ASEAN・India・Korea,Ford,Hanil Tube India Private Ltd.,Brake line
